,S_1_COMID,S_1_unitarea,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
2,35008315,95.34123869398327,67.76961821758641,179.22941783328773,1,67.76961821758641,179.22941783328773,1,95341360.92722425,1,79197.0,67.75,179.0,294670503.80729276,79197,839117.5923306933,0.00880119167767289,0.0028476470548930662,0.008801191677672897,0.002847647054893066
1,35008315,95.34123869398327,67.76961821758641,179.22941783328773,1,67.76961821758641,179.22941783328773,1,95341360.92722425,1,79198.0,67.75,179.25,294670503.8072473,79198,94502243.33489348,0.9911988083223263,0.3207047943852236,0.9911988083223271,0.32070479438522353
4,35002467,33.62556361193434,69.48629980169451,175.75947238747693,2,69.48629980169451,175.75947238747693,2,33625561.38914153,2,69104.0,69.5,175.75,272613164.4705843,69104,33625561.38914153,1.0,0.12334533240330667,1.0,0.12334533240330668
6,35017564,92.10740524949426,66.01071444469892,179.35759446861007,3,66.01071444469892,179.35759446861007,3,92107425.96126156,3,89279.0,66.0,179.5,316435055.5143934,89279,44442653.04620571,0.48250890286411163,0.1404479442834177,0.48250890286411185,0.1404479442834177
7,35017564,92.10740524949426,66.01071444469892,179.35759446861007,3,66.01071444469892,179.35759446861007,3,92107425.96126156,3,89278.0,66.0,179.25,316435055.5143934,89278,47664772.915055804,0.5174910971358879,0.1506305072223192,0.5174910971358881,0.1506305072223192
135,35000861,8519.201312487414,71.25309131459979,180.07407927478584,4,71.25309131459979,180.07407927478584,4,84975911.0625125,4,57602.0,71.25,-179.75,250284379.8416722,57602,31754572.041104995,0.3736891037007506,0.1268739665703176,0.37368910370075054,0.12687396657031763
829,35000861,8519.201312487414,71.25309131459979,180.07407927478584,4,71.25309131459979,180.07407927478584,4,84975911.0625125,4,59040.0,71.25,179.75,250284379.84167224,59040,3594685.938828918,0.04230241128199836,0.014362406240065344,0.04230241128199835,0.014362406240065349
1202,35000861,8519.201312487414,71.25309131459979,180.07407927478584,4,71.25309131459979,180.07407927478584,4,84975911.0625125,4,57601.0,71.25,-180.0,248282104.80296916,57601,49626653.08257861,0.5840084850172512,0.19988010461712957,0.5840084850172511,0.19988010461712963
1449,35008288,54.73059421400885,67.75263777565091,183.58407928579945,5,67.75263777565091,183.58407928579945,5,54730590.6177208,5,77776.0,67.75,-176.25,294670503.8072472,77776,13819930.365832713,0.25250833601196443,0.046899605448371386,0.2525083360119643,0.046899605448371365
1450,35008288,54.73059421400885,67.75263777565091,183.58407928579945,5,67.75263777565091,183.58407928579945,5,54730590.6177208,5,77775.0,67.75,-176.5,294670503.80729276,77775,40910660.25188811,0.747491663988036,0.13883527439394705,0.7474916639880357,0.13883527439394708
1452,35062610,55.99098645321093,51.93973561418491,179.63016576508144,6,51.93973561418491,179.63016576508144,6,55990975.40893345,6,169919.0,52.0,179.5,477600923.5206324,169919,24457842.186279297,0.43681757654068315,0.051209788301891164,0.4368175765406839,1.0
1453,35062610,55.99098645321093,51.93973561418491,179.63016576508144,6,51.93973561418491,179.63016576508144,6,55990975.40893345,6,169920.0,52.0,179.75,477600923.5206324,169920,31533133.222654063,0.5631824234593151,0.06602402061999327,0.5631824234593161,1.0
1455,35046201,44.08355594293926,64.23301668797039,175.05509721630432,7,64.23301668797039,175.05509721630432,7,44083536.51814858,7,99341.0,64.25,175.0,337885902.7064298,99341,38482939.984894104,0.872954917513281,0.11389329852666208,0.8729549175132805,0.2541170832540907
1456,35046201,44.08355594293926,64.23301668797039,175.05509721630432,7,64.23301668797039,175.05509721630432,7,44083536.51814858,7,99342.0,64.25,175.25,337885902.706482,99342,5600596.533254508,0.12704508248671972,0.01657540752186897,0.12704508248671964,0.01658092933455098
1458,35002465,29.9305270298712,69.4559562924651,177.80477284251072,8,69.4559562924651,177.80477284251072,8,29930538.101121187,8,69112.0,69.5,177.75,272613164.4705843,69112,29930538.101121187,1.0,0.10979124269088911,1.0,0.19590268466089977
1460,35008309,28.806993014202362,67.73022305008917,177.9521998824555,9,67.73022305008917,177.9521998824555,9,28806972.090635218,9,79193.0,67.75,178.0,294670503.8072473,79193,28806972.090635218,1.0,0.0977599444750626,1.0,0.09775994447506256
1461,35006943,34.26525362090659,71.23975558262283,181.3634303017999,10,71.23975558262283,181.3634303017999,10,34265262.43629316,10,57607.0,71.25,-178.5,250284379.84167224,57607,15805190.507124376,0.461259870298959,0.06314892889888934,0.46125987029895954,0.0631489288988894
1462,35006943,34.26525362090659,71.23975558262283,181.3634303017999,10,71.23975558262283,181.3634303017999,10,34265262.43629316,10,57606.0,71.25,-178.75,250284379.84167224,57606,18460071.929168746,0.5387401297010398,0.07375638839645698,0.5387401297010405,0.07375638839645704
1464,35000853,42.606702816830335,71.23602443936433,181.94772577835798,11,71.23602443936433,181.94772577835798,11,42606691.27525723,11,57609.0,71.25,-178.0,250284379.84167224,57609,33550442.57381113,0.7874453887315749,0.13404928663560567,0.7874453887315733,0.15288890982022324
1465,35000853,42.606702816830335,71.23602443936433,181.94772577835798,11,71.23602443936433,181.94772577835798,11,42606691.27525723,11,57608.0,71.25,-178.25,250284379.84171087,57608,9056248.701446185,0.2125546112684271,0.03618383499271386,0.21255461126842667,0.03618383499271386
1468,35027281,37.49766397266038,67.76284274369505,177.23706417081192,12,67.76284274369505,177.23706417081192,12,37497655.15077798,12,79190.0,67.75,177.25,294670503.8072472,79190,37497655.15077798,1.0,0.12725282872325192,1.0,0.12725282872325183
1470,35052693,26.462994669127003,62.508481891701905,175.33593969760898,13,62.508481891701905,175.33593969760898,13,26462993.539816346,13,109423.0,62.5,175.5,359002578.4682683,109423,3797568.3028181074,0.14350486452351915,0.010578108711700434,0.14350486452351915,0.010578108711700436
1471,35052693,26.462994669127003,62.508481891701905,175.33593969760898,13,62.508481891701905,175.33593969760898,13,26462993.539816346,13,109422.0,62.5,175.25,359002578.4683237,109422,22665425.236998238,0.8564951354764808,0.06313443578511262,0.8564951354764808,0.06313443578511264
1473,35027280,31.83280561209667,67.77526139593824,178.67397316688928,14,67.77526139593824,178.67397316688928,14,31832789.556261666,14,79196.0,67.75,178.75,294670503.8072473,79196,28593725.21285571,0.8982475495061093,0.09703626539953832,0.8982475495061097,0.09703626539953832
1474,35027280,31.83280561209667,67.77526139593824,178.67397316688928,14,67.77526139593824,178.67397316688928,14,31832789.556261666,14,79195.0,67.75,178.5,294670503.8072473,79195,3239064.343405942,0.10175245049389026,0.01099215666840109,0.1017524504938903,0.010992156668401091
1476,35027278,48.242190231435366,67.75095379481955,177.112294536817,15,67.75095379481955,177.112294536817,15,48242188.18092845,15,79189.0,67.75,177.0,294670503.8072472,79189,30937201.734366857,0.641289354834805,0.10498913645800058,0.6412893548348054,0.10498913645800054
1477,35027278,48.242190231435366,67.75095379481955,177.112294536817,15,67.75095379481955,177.112294536817,15,48242188.18092845,15,79190.0,67.75,177.25,294670503.8072472,79190,17304986.446561556,0.35871064516519435,0.05872656483419618,0.3587106451651946,0.05872656483419614
